driver_id,key,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
610685,2009-06-15 17:26:21.0000001,2009-06-15 17:26:21 UTC,-73.844311,40.721319,-73.84161,40.71227800000001
825735,2010-01-05 16:52:16.0000002,2010-01-05 16:52:16 UTC,-74.016048,40.711303,-73.979268,40.782004
428317,2011-08-18 00:35:00.00000049,2011-08-18 00:35:00 UTC,-73.982738,40.76127,-73.991242,40.750562
356886,2012-04-21 04:30:42.0000001,2012-04-21 04:30:42 UTC,-73.98713000000002,40.733143,-73.991567,40.758092
603801,2010-03-09 07:51:00.000000135,2010-03-09 07:51:00 UTC,-73.96809499999998,40.768008,-73.956655,40.783762
183971,2011-01-06 09:50:45.0000002,2011-01-06 09:50:45 UTC,-74.000964,40.73163,-73.972892,40.758233
600461,2012-11-20 20:35:00.0000001,2012-11-20 20:35:00 UTC,-73.980002,40.751662,-73.973802,40.764842
596197,2012-01-04 17:22:00.00000081,2012-01-04 17:22:00 UTC,-73.9513,40.774138,-73.990095,40.751048
382017,2012-12-03 13:10:00.000000125,2012-12-03 13:10:00 UTC,-74.006462,40.726713,-73.993078,40.731628
599864,2009-09-02 01:11:00.00000083,2009-09-02 01:11:00 UTC,-73.98065799999998,40.733873,-73.99154,40.758138
486440,2012-04-08 07:30:50.0000002,2012-04-08 07:30:50 UTC,-73.996335,40.737142,-73.980721,40.733559
60412,2012-12-24 11:24:00.00000098,2012-12-24 11:24:00 UTC,0.0,0.0,0.0,0.0
318925,2009-11-06 01:04:03.0000002,2009-11-06 01:04:03 UTC,-73.991601,40.744712,-73.983081,40.744682
942474,2013-07-02 19:54:00.000000232,2013-07-02 19:54:00 UTC,-74.00536,40.728867,-74.008913,40.710907
111143,2011-04-05 17:11:05.0000001,2011-04-05 17:11:05 UTC,-74.00182099999998,40.737547,-73.99806,40.722788
991464,2013-11-23 12:57:00.000000190,2013-11-23 12:57:00 UTC,0.0,0.0,0.0,0.0
239703,2014-02-19 07:22:00.00000074,2014-02-19 07:22:00 UTC,-73.98643,40.760465,-73.98899,40.737075
580070,2009-07-22 16:08:00.000000163,2009-07-22 16:08:00 UTC,-73.98106,40.73769,-73.99417700000002,40.728412
640316,2010-07-07 14:52:00.00000044,2010-07-07 14:52:00 UTC,-73.969505,40.784843,-73.958732,40.783357
365485,2014-12-06 20:36:22.0000008,2014-12-06 20:36:22 UTC,-73.979815,40.751902,-73.979446,40.755481
722419,2010-09-07 13:18:00.000000175,2010-09-07 13:18:00 UTC,-73.985382,40.747858,-73.97837700000002,40.76207
675995,2013-02-12 12:15:46.0000002,2013-02-12 12:15:46 UTC,-73.957954,40.779252,-73.96125,40.758787
413668,2009-08-06 18:17:23.0000001,2009-08-06 18:17:23 UTC,-73.99170699999998,40.770505,-73.98545899999998,40.763671
